Country Name,Country Code,2018,2019,2020,2021,,
Afghanistan,AFG,"18,053,228,579","18,799,450,743","20,116,137,326",,,
Albania,ALB,"15,156,432,310","15,401,830,754","15,131,866,271","18,260,043,500",,
Algeria,DZA,"174,910,878,623","171,767,403,748","145,009,181,491","167,983,141,738",,
American Samoa,ASM,"639,000,000","648,000,000","709,000,000",,,
Andorra,AND,"3,218,419,897","3,155,149,348","2,891,001,149","3,329,910,724",,
Angola,AGO,"77,792,940,077","69,309,104,807","53,619,071,176","72,546,985,709",,
Antigua and Barbuda,ATG,"1,605,944,444","1,687,533,333","1,370,281,481","1,471,125,926",,
Argentina,ARG,"524,819,742,919","452,818,426,183","389,591,035,521","491,492,700,657",,
Armenia,ARM,"12,457,941,907","13,619,291,361","12,641,209,802","13,861,183,874",,
Aruba,ABW,"3,202,234,637","3,310,055,866","2,496,648,045",,,
Australia,AUS,"1,428,529,571,351","1,391,952,510,370","1,327,836,171,069","1,542,659,899,993",,
Austria,AUT,"455,168,151,939","445,011,872,704","433,258,467,677","477,082,467,454",,
Azerbaijan,AZE,"47,112,941,176","48,174,235,294","42,693,000,000","54,622,176,471",,
"Bahamas, The",BHS,"12,755,800,000","13,192,800,000","9,699,500,000","11,208,600,000",,
Bahrain,BHR,"37,802,005,319","38,653,318,085","34,723,357,447","38,868,663,032",,
Bangladesh,BGD,"321,379,023,557","351,238,438,543","373,902,134,700","416,264,942,893",,
Barbados,BRB,"5,097,283,213","5,304,164,323","4,689,534,962","4,900,800,000",,
Belarus,BLR,"60,031,262,269","64,409,647,194","61,489,588,895","68,218,816,484",,
Belgium,BEL,"543,347,368,038","535,376,258,147","521,676,942,135","599,879,025,378",,
Belize,BLZ,"1,887,465,218","1,945,250,236","1,585,631,670","1,789,923,264",,
Benin,BEN,"14,262,407,011","14,391,686,633","15,651,545,332","17,785,640,079",,
Bermuda,BMU,"7,225,977,000","7,423,465,000","6,881,662,000","7,080,900,000",,
Bhutan,BTN,"2,446,866,405","2,535,657,069","2,315,436,303",,,
Bolivia,BOL,"40,287,647,931","40,895,322,851","36,629,843,806","40,408,208,524",,
Bosnia and Herzegovina,BIH,"20,177,422,311","20,201,323,283","19,955,120,005","22,571,512,867",,
Botswana,BWA,"16,914,245,098","16,695,925,027","14,930,072,799","17,613,846,473",,
Brazil,BRA,"1,916,933,708,382","1,873,288,158,977","1,448,565,936,740","1,608,981,220,812",,
British Virgin Islands,VGB,,,,,,
Brunei Darussalam,BRN,"13,567,351,175","13,469,422,959","12,005,825,770","14,006,569,576",,
Bulgaria,BGR,"66,363,422,450","68,915,416,142","69,889,347,433","80,271,119,426",,
