datetime_utc,spot_price,gen_ccgt,gen_coal,gen_hydro,gen_nuclear,gen_solar_pv,gen_solar_th,gen_total,gen_wind,demand_total,year,month,day,hour,weekday,is_weekend,is_holiday
2023-10-31 23:00:00+00:00,16.75,,292.0,5008.4,4304.5,51.4,194.1,23136.4,9951.7,21757.3,2023,10,31,23,1,0,False
2023-11-01 00:00:00+00:00,12.52,,291.0,3989.8,4305.5,51.4,194.1,21856.6,10426.5,20661.0,2023,11,1,0,2,0,True
2023-11-01 01:00:00+00:00,4.99,,180.0,3709.6,4306.5,51.2,194.1,21339.8,10832.7,19951.5,2023,11,1,1,2,0,True
2023-11-01 02:00:00+00:00,4.3,,,3433.1,4307.5,51.2,194.1,20789.1,10736.3,19426.9,2023,11,1,2,2,0,True
2023-11-01 03:00:00+00:00,4.3,,,3286.3,4307.5,51.2,194.1,20574.3,10669.2,19100.8,2023,11,1,3,2,0,True
2023-11-01 04:00:00+00:00,4.3,,,3250.6,4308.5,51.2,194.1,20833.9,10961.0,18891.6,2023,11,1,4,2,0,True
2023-11-01 05:00:00+00:00,4.3,,,3292.5,4308.5,54.3,194.1,21702.7,11787.9,19181.9,2023,11,1,5,2,0,True
2023-11-01 06:00:00+00:00,4.3,,,3773.2,4308.5,285.8,194.1,23095.7,12470.8,19771.2,2023,11,1,6,2,0,True
2023-11-01 07:00:00+00:00,4.3,,,3749.5,4308.5,2056.3,244.1,24488.3,12068.8,20297.5,2023,11,1,7,2,0,True
2023-11-01 08:00:00+00:00,3.1,,,3750.6,4306.5,4767.4,321.4,26339.9,11136.2,21463.5,2023,11,1,8,2,0,True
2023-11-01 09:00:00+00:00,1.8,,,3249.7,4303.5,6445.9,304.5,27661.5,11314.5,21984.2,2023,11,1,9,2,0,True
2023-11-01 10:00:00+00:00,0.54,,,3223.6,4302.5,6997.8,442.4,28191.3,11341.0,22384.5,2023,11,1,10,2,0,True
2023-11-01 11:00:00+00:00,0.1,,,3217.8,4299.5,7130.2,426.6,28654.9,11700.8,22602.7,2023,11,1,11,2,0,True
2023-11-01 12:00:00+00:00,0.1,,,3223.9,4297.5,6923.3,391.4,28797.9,12081.8,23199.0,2023,11,1,12,2,0,True
2023-11-01 13:00:00+00:00,0.1,,,3224.9,4298.5,6426.4,373.3,28536.1,12333.5,23084.0,2023,11,1,13,2,0,True
2023-11-01 14:00:00+00:00,0.01,,,3159.7,4297.5,5488.0,341.9,27433.5,12267.1,21992.3,2023,11,1,14,2,0,True
2023-11-01 15:00:00+00:00,1.62,,,3226.8,4298.5,3710.5,313.0,25591.1,12092.7,21396.4,2023,11,1,15,2,0,True
2023-11-01 16:00:00+00:00,4.3,,,3359.2,4299.5,1643.9,406.3,24093.2,12179.9,21504.7,2023,11,1,16,2,0,True
2023-11-01 17:00:00+00:00,4.3,,,4898.1,4298.5,503.4,349.3,25268.8,13008.1,23166.4,2023,11,1,17,2,0,True
